rank,model,accuracy,macro_f1,weighted_f1
1,SVM,0.910625,0.9070222951327164,0.9104657167138949
2,Naive Bayes,0.830625,0.8192491638887008,0.8291763418931094
3,kNN,0.755625,0.7479402822666126,0.7570099487844637
4,Decision Tree,0.48875,0.45282326549191854,0.4431624865873384
